Run_ID	Arah	Trip	Jati_Mulya	Bekasi_Barat	Cikunir_2	Cikunir_1	Jatibening_Baru	Halim	Cawang	Ciliwung	Cikoko	Pancoran	Kuningan	Rasuna_Said	Setiabudi	Dukuh_Atas
Run-B27	JM_to_DA	27	12:03	12:08	12:12	12:16	12:20	12:26	12:31	12:34	12:37	12:41	12:46	12:49	12:52	12:55
Run-B27	DA_to_JM	27	13:51	13:47	13:42	13:39	13:35	13:28	13:23	13:20	13:18	13:14	13:08	13:06	13:02	12:59
Run-B28	JM_to_DA	28	12:16	12:20	12:25	12:28	12:32	12:39	12:44	12:47	12:50	12:53	12:59	13:01	13:05	13:07
Run-B28	DA_to_JM	28	14:03	13:59	13:55	13:51	13:47	13:41	13:36	13:33	13:30	13:26	13:21	13:18	13:15	13:12
Run-B29	JM_to_DA	29	12:28	12:33	12:37	12:41	12:45	12:51	12:56	12:59	13:02	13:06	13:11	13:14	13:17	13:20
Run-B29	DA_to_JM	29	14:16	14:12	14:07	14:04	14:00	13:53	13:48	13:45	13:43	13:39	13:33	13:31	13:27	13:24
Run-B30	JM_to_DA	30	12:41	12:45	12:50	12:53	12:57	13:04	13:09	13:12	13:15	13:18	13:24	13:26	13:30	13:32
Run-B30	DA_to_JM	30	14:28	14:24	14:20	14:16	14:12	14:06	14:01	13:58	13:55	13:51	13:46	13:43	13:40	13:37
Run-B31	JM_to_DA	31	12:53	12:58	13:02	13:06	13:10	13:16	13:21	13:24	13:27	13:31	13:36	13:39	13:42	13:45
Run-B31	DA_to_JM	31	14:41	14:37	14:32	14:29	14:25	14:18	14:13	14:10	14:08	14:04	13:58	13:56	13:52	13:49
Run-B32	JM_to_DA	32	13:06	13:10	13:15	13:18	13:22	13:29	13:34	13:37	13:40	13:43	13:49	13:51	13:55	13:57
Run-B32	DA_to_JM	32	14:53	14:49	14:45	14:41	14:37	14:31	14:26	14:23	14:20	14:16	14:11	14:08	14:05	14:02
Run-B33	JM_to_DA	33	13:18	13:23	13:27	13:31	13:35	13:41	13:46	13:49	13:52	13:56	14:01	14:04	14:07	14:10
Run-B33	DA_to_JM	33	15:06	15:02	14:57	14:54	14:50	14:43	14:38	14:35	14:33	14:29	14:23	14:21	14:17	14:14
Run-B34	JM_to_DA	34	13:31	13:35	13:40	13:43	13:47	13:54	13:59	14:02	14:05	14:08	14:14	14:16	14:20	14:22
Run-B34	DA_to_JM	34	15:18	15:14	15:10	15:06	15:02	14:56	14:51	14:48	14:45	14:41	14:36	14:33	14:30	14:27
Run-B35	JM_to_DA	35	13:43	13:48	13:52	13:56	14:00	14:06	14:11	14:14	14:17	14:21	14:26	14:29	14:32	14:35
Run-B35	DA_to_JM	35	15:31	15:27	15:22	15:19	15:15	15:08	15:03	15:00	14:58	14:54	14:48	14:46	14:42	14:39
Run-B36	JM_to_DA	36	13:56	14:00	14:05	14:08	14:12	14:19	14:24	14:27	14:30	14:33	14:39	14:41	14:45	14:47
Run-B36	DA_to_JM	36	15:43	15:39	15:35	15:31	15:27	15:21	15:16	15:13	15:10	15:06	15:01	14:58	14:55	14:52
Run-B37	JM_to_DA	37	14:08	14:13	14:17	14:21	14:25	14:31	14:36	14:39	14:42	14:46	14:51	14:54	14:57	15:00
Run-B37	DA_to_JM	37	15:56	15:52	15:47	15:44	15:40	15:33	15:28	15:25	15:23	15:19	15:13	15:11	15:07	15:04
Run-B38	JM_to_DA	38	14:21	14:25	14:30	14:33	14:37	14:44	14:49	14:52	14:55	14:58	15:04	15:06	15:10	15:12
Run-B38	DA_to_JM	38	16:08	16:04	16:00	15:56	15:52	15:46	15:41	15:38	15:35	15:31	15:26	15:23	15:20	15:17
Run-B39	JM_to_DA	39	14:33	14:38	14:42	14:46	14:50	14:56	15:01	15:04	15:07	15:11	15:16	15:19	15:22	15:25
Run-B39	DA_to_JM	39	16:21	16:17	16:12	16:09	16:05	15:58	15:53	15:50	15:48	15:44	15:38	15:36	15:32	15:29
Run-B40	JM_to_DA	40	14:46	14:50	14:55	14:58	15:02	15:09	15:14	15:17	15:20	15:23	15:29	15:31	15:35	15:37
Run-B40	DA_to_JM	40	16:33	16:29	16:25	16:21	16:17	16:11	16:06	16:03	16:00	15:56	15:51	15:48	15:45	15:42
Run-B41	JM_to_DA	41	14:58	15:03	15:07	15:11	15:15	15:21	15:26	15:29	15:32	15:36	15:41	15:44	15:47	15:50
Run-B41	DA_to_JM	41	16:46	16:42	16:37	16:34	16:30	16:23	16:18	16:15	16:13	16:09	16:03	16:01	15:57	15:54
Run-B42	JM_to_DA	42	15:11	15:15	15:20	15:23	15:27	15:34	15:39	15:42	15:45	15:48	15:54	15:56	16:00	16:02
Run-B42	DA_to_JM	42	16:58	16:54	16:50	16:46	16:42	16:36	16:31	16:28	16:25	16:21	16:16	16:13	16:10	16:07
Run-B43	JM_to_DA	43	15:23	15:28	15:32	15:36	15:40	15:46	15:51	15:54	15:57	16:01	16:06	16:09	16:12	16:15
Run-B43	DA_to_JM	43	17:11	17:07	17:02	16:59	16:55	16:48	16:43	16:40	16:38	16:34	16:28	16:26	16:22	16:19
Run-B44	JM_to_DA	44	15:36	15:40	15:45	15:48	15:52	15:59	16:04	16:07	16:10	16:13	16:19	16:21	16:25	16:27
Run-B44	DA_to_JM	44	17:23	17:19	17:15	17:11	17:07	17:01	16:56	16:53	16:50	16:46	16:41	16:38	16:35	16:32
Run-B45	JM_to_DA	45	15:48	15:53	15:57	16:01	16:05	16:11	16:16	16:19	16:22	16:26	16:31	16:34	16:37	16:40
Run-B45	DA_to_JM	45	17:36	17:32	17:27	17:24	17:20	17:13	17:08	17:05	17:03	16:59	16:53	16:51	16:47	16:44
Run-B46	JM_to_DA	46	16:01	16:05	16:10	16:13	16:17	16:24	16:29	16:32	16:35	16:38	16:44	16:46	16:50	16:52
Run-B46	DA_to_JM	46	17:48	17:44	17:40	17:36	17:32	17:26	17:21	17:18	17:15	17:11	17:06	17:03	17:00	16:57
Run-B47	JM_to_DA	47	16:13	16:18	16:22	16:26	16:30	16:36	16:41	16:44	16:47	16:51	16:56	16:59	17:02	17:05
Run-B47	DA_to_JM	47	18:01	17:57	17:52	17:49	17:45	17:38	17:33	17:30	17:28	17:24	17:18	17:16	17:12	17:09
Run-B48	JM_to_DA	48	16:26	16:30	16:35	16:38	16:42	16:49	16:54	16:57	17:00	17:03	17:09	17:11	17:15	17:17
Run-B48	DA_to_JM	48	18:13	18:09	18:05	18:01	17:57	17:51	17:46	17:43	17:40	17:36	17:31	17:28	17:25	17:22
Run-B49	JM_to_DA	49	16:38	16:43	16:47	16:51	16:55	17:01	17:06	17:09	17:12	17:16	17:21	17:24	17:27	17:30
Run-B49	DA_to_JM	49	18:26	18:22	18:17	18:14	18:10	18:03	17:58	17:55	17:53	17:49	17:43	17:41	17:37	17:34
Run-B50	JM_to_DA	50	16:51	16:55	17:00	17:03	17:07	17:14	17:19	17:22	17:25	17:28	17:34	17:36	17:40	17:42
Run-B50	DA_to_JM	50	18:38	18:34	18:30	18:26	18:22	18:16	18:11	18:08	18:05	18:01	17:56	17:53	17:50	17:47
Run-B51	JM_to_DA	51	17:03	17:08	17:12	17:16	17:20	17:26	17:31	17:34	17:37	17:41	17:46	17:49	17:52	17:55
Run-B51	DA_to_JM	51	18:51	18:47	18:42	18:39	18:35	18:28	18:23	18:20	18:18	18:14	18:08	18:06	18:02	17:59
Run-B52	JM_to_DA	52	17:16	17:20	17:25	17:28	17:32	17:39	17:44	17:47	17:50	17:53	17:59	18:01	18:05	18:07
Run-B52	DA_to_JM	52	19:03	18:59	18:55	18:51	18:47	18:41	18:36	18:33	18:30	18:26	18:21	18:18	18:15	18:12
Run-B53	JM_to_DA	53	17:28	17:33	17:37	17:41	17:45	17:51	17:56	17:59	18:02	18:06	18:11	18:14	18:17	18:20
Run-B53	DA_to_JM	53	19:16	19:12	19:07	19:04	19:00	18:53	18:48	18:45	18:43	18:39	18:33	18:31	18:27	18:24
Run-B54	JM_to_DA	54	17:41	17:45	17:50	17:53	17:57	18:04	18:09	18:12	18:15	18:18	18:24	18:26	18:30	18:32
Run-B54	DA_to_JM	54	19:28	19:24	19:20	19:16	19:12	19:06	19:01	18:58	18:55	18:51	18:46	18:43	18:40	18:37
Run-B55	JM_to_DA	55	17:53	17:58	18:02	18:06	18:10	18:16	18:21	18:24	18:27	18:31	18:36	18:39	18:42	18:45
Run-B55	DA_to_JM	55	19:41	19:37	19:32	19:29	19:25	19:18	19:13	19:10	19:08	19:04	19:08	18:56	18:52	18:49
Run-B56	JM_to_DA	56	18:06	18:10	18:15	18:18	18:22	18:29	18:34	18:37	18:40	18:43	18:49	18:51	18:55	18:57
Run-B56	DA_to_JM	56	19:53	19:49	19:45	19:41	19:37	19:31	19:26	19:23	19:20	19:16	19:11	19:08	19:05	19:02
Run-B57	JM_to_DA	57	18:25	18:29	18:34	18:37	18:41	18:48	18:53	18:56	18:59	19:02	19:08	19:10	19:14	19:16
Run-B57	DA_to_JM	57	20:12	20:08	20:04	20:00	19:56	19:50	19:45	19:42	19:39	19:35	19:30	19:27	19:24	19:21
Run-B58	JM_to_DA	58	18:44	18:48	18:53	18:56	19:00	19:07	19:12	19:15	19:18	19:21	19:27	19:29	19:33	19:35
Run-B58	DA_to_JM	58	20:31	20:27	20:23	20:19	20:15	20:09	20:04	20:01	19:58	19:54	19:49	19:46	19:43	19:40
Run-B59	JM_to_DA	59	19:03	19:07	19:12	19:15	19:19	19:26	19:31	19:34	19:37	19:40	19:46	19:48	19:52	19:54
Run-B59	DA_to_JM	59	20:50	20:46	20:42	20:38	20:34	20:28	20:23	20:20	20:17	20:13	20:08	20:05	20:02	19:59
Run-B60	JM_to_DA	60	19:22	19:26	19:31	19:34	19:38	19:45	19:50	19:53	19:56	19:59	20:05	20:07	20:11	20:13
Run-B60	DA_to_JM	60	21:09	21:05	21:01	20:57	20:53	20:47	20:42	20:39	20:36	20:32	20:27	20:24	20:21	20:18
Run-B61	JM_to_DA	61	19:41	19:45	19:50	19:53	19:57	20:04	20:09	20:12	20:15	20:18	20:24	20:26	20:30	20:32
Run-B61	DA_to_JM	61	21:28	21:24	21:20	21:16	21:12	21:06	21:01	20:58	20:55	20:51	20:46	20:43	20:40	20:37
Run-B62	JM_to_DA	62	20:00	20:04	20:09	20:12	20:16	20:23	20:28	20:31	20:34	20:37	20:43	20:45	20:49	20:51
Run-B62	DA_to_JM	62	21:47	21:43	21:39	21:35	21:31	21:25	21:20	21:17	21:14	21:10	21:05	21:02	20:59	20:56
Run-B63	JM_to_DA	63	20:19	20:23	20:28	20:31	20:35	20:42	20:47	20:50	20:53	20:56	21:02	21:04	21:08	21:10
